№;Кластер;Направление;Приоритет;Компания;Роль;Закрывает;Шаблон;Канал;E-mail;Телефон;Страница;Дропшип;Отгрузка клиенту;Нейтрально;Мин. заказ;Фид;Приём заказа;Оплата;Срок отгрузки;Возвраты;Тема письма;Дата отправки;Повтор;Звонок;Ответ;Скидка/условия;Порог входа;Отсрочка;Фид/API;Статус;Комментарий
1;Привод, электрика и КИПиА;Электродвигатели;Неделя 1;Насос-Электропром (nasoselprom.ru);дистрибьютор;Асинхронные общепромышленные АИР, Двигатели под частотное регулирование;Дропшиппинг: прямая отгрузка нашим клиентам;форма заказа на сайте;;;https://nasoselprom.ru/price;частично;да — доставка «по вашему адресу» подтверждена, но не уточнено, что грузополучателем может быть третье лицо (клиент реселлера);неизвестно;неизвестно;нет — только статичный прайс-лист (nasoselprom.ru/price), YML/API не найдены;форма заказа на сайте / e-mail / телефон;"по счету или картой на складе; для нерезидентов — от 100 000 ₽";неизвестно;неизвестно;Сотрудничество по дропшиппингу: АИР, АМН, 5АМН, Полесьеэлектромаш, УралЭлектро — ПРОМКОНТУР;;;;;;;;;не отправлено;
2;Привод, электрика и КИПиА;Электродвигатели;Неделя 2;Могилёвский завод «Электродвигатель» (в составе ОАО «Могилёвлифтмаш»);производитель (Беларусь, ЕАЭС);Асинхронные общепромышленные АИР, Взрывозащищённые АИМЛ, ВА, ВРП, Двигатели с тормозом, Однофазные и малой мощности;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / дилер ГКНТ;;;https://mogilez.nt-rt.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: МЭЗ, АИР, АИРВЕ, ВР, 4ВР, 4ВС — ПРОМКОНТУР;;;;;;;;;не отправлено;
3;Привод, электрика и КИПиА;Электродвигатели;Неделя 2;ГК «Новые Технологии» (nt-rt.ru);мультибрендовый дистрибьютор;Крановые и металлургические, Высоковольтные 6–10 кВ;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://vemz.nt-rt.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;e-mail/форма на сайте;по счету / QR / карта, отгрузка после оплаты;неизвестно;неизвестно;Сотрудничество по дропшиппингу: ВЭМЗ, 7АVE, МЭЗ — ПРОМКОНТУР;;;;;;;;;не отправлено;
4;Привод, электрика и КИПиА;Электродвигатели;Неделя 2;Кубань ОРИС (kuboris.ru);крупный профильный поставщик запчастей для электродвигателей;Щётки, крыльчатки, кожухи, клеммные коробки (запчасти к двигателям);Запрос условий сервиса / КП;e-mail / телефон;i@tdkubanoris.ru;+7 918 030-13-42, +7 918 016-13-42;https://kuboris.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Электродвигатели;;;;;;;;;не отправлено;
5;Привод, электрика и КИПиА;Электродвигатели;Неделя 2;НПО «Электромашкомплект» (motors33.ru);производитель запчастей для электродвигателей;Щётки, крыльчатки, кожухи, клеммные коробки (запчасти к двигателям);Запрос условий сервиса / КП;форма на сайте / телефон;;;http://motors33.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Электродвигатели;;;;;;;;;не отправлено;
6;Привод, электрика и КИПиА;Электродвигатели;Резерв;ПромСнаб (psnab.ru);дистрибьютор;Щётки, крыльчатки, кожухи, клеммные коробки;Запрос условий сервиса / КП;e-mail/телефон;info@psnab.ru;+7 495 781-61-09;https://psnab.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;e-mail/телефон;безналичный расчёт, только юрлица;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Электродвигатели;;;;;;;;;не отправлено;
7;Привод, электрика и КИПиА;Частотники и автоматика;Неделя 2;INSTART / ГК «Новые Технологии»;производитель/бренд (сборка КНР);ПЧ до 7,5 кВт, ПЧ 11–250 кВт, Устройства плавного пуска;Дропшиппинг: прямая отгрузка нашим клиентам;форма/дилер;;;https://instart-info.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: INSTART (VCI, FCI, MCI, LCI серии) — ПРОМКОНТУР;;;;;;;;;не отправлено;
8;Привод, электрика и КИПиА;Частотники и автоматика;Неделя 2;РусАвтоматизация (rusautomation.ru);официальный дилер INSTART;ПЧ до 7,5 кВт, ПЧ 11–250 кВт;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://rusautomation.ru/info/brands/innovert;неизвестно;неизвестно;неизвестно;неизвестно;нет;форма на сайте;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Частотники и автоматика;;;;;;;;;не отправлено;
9;Привод, электрика и КИПиА;Частотники и автоматика;Неделя 2;Kinco Automation через kincohmi.ru;официальный дистрибьютор (заявлен «№1 в РФ и СНГ»);ПЛК, Панели HMI, Энкодеры и датчики положения;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://kincohmi.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Kinco — ПРОМКОНТУР;;;;;;;;;не отправлено;
10;Привод, электрика и КИПиА;Частотники и автоматика;Неделя 2;Boneng Transmission через Veturado / Swiss Drive Systems;завод + прямой РФ-канал;Сервоприводы, Шкафы управления под заказ;Завод в Китае: цены, OEM, дистрибуция;форма на сайте;;;https://veturado.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;4–16 недель (по данным SDS, не для дропшип-модели);неизвестно;Distribution in Russia — Boneng / ПРОМКОНТУР;;;;;;;;;не отправлено;
11;Привод, электрика и КИПиА;КИПиА;Неделя 1;Приборы и Автоматика (k-avtomatika.ru);производитель РФ (приборы контроля давления, уровня, микроклимата);Датчики давления, Манометры, Регуляторы и вторичные приборы, Реле давления и температуры;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / e-mail;9880959@mail.ru;+7 (495) 712-32-09;https://www.k-avtomatika.ru/;да;да — прямая отправка третьим лицам заявлена как услуга;неизвестно — детали нейтральной упаковки/документов на сайте не раскрыты, требуется уточнение у менеджера;неизвестно;нет — YML/API на сайте не найдены, есть только каталог с открытыми ценами;форма на сайте / e-mail / телефон;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Приборы и Автоматика, Ivit — ПРОМКОНТУР;;;;;;;;;не отправлено;
12;Привод, электрика и КИПиА;КИПиА;Неделя 2;ОВЕН;производитель РФ, прямые продажи + дилеры;Датчики давления, Манометры, Регуляторы и вторичные приборы, Реле давления и температуры, Отборные устройства и клапанные блоки;Запрос условий сервиса / КП;e-mail;support@owen.ru;;https://owen.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;e-mail (support@owen.ru);неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — КИПиА;;;;;;;;;не отправлено;
