№;Кластер;Направление;Приоритет;Компания;Роль;Закрывает;Шаблон;Канал;E-mail;Телефон;Страница;Тема письма;Дата отправки;Повтор;Звонок;Ответ;Скидка/условия;Порог входа;Отсрочка;Фид/API;Статус;Комментарий
1;Привод, электрика и КИПиА;Электродвигатели;Неделя 1;Могилёвский завод «Электродвигатель» (в составе ОАО «Могилёвлифтмаш»);производитель (Беларусь, ЕАЭС);Асинхронные общепромышленные АИР, Взрывозащищённые АИМЛ, ВА, ВРП, Двигатели с тормозом, Однофазные и малой мощности;Запрос дилерских условий;форма на сайте / дилер ГКНТ;;;https://mogilez.nt-rt.ru;Дилерство МЭЗ, АИР, АИРВЕ, ВР, 4ВР, 4ВС — ПРОМКОНТУР, направление «Электродвигатели»;;;;;;;;;не отправлено;
2;Привод, электрика и КИПиА;Электродвигатели;Неделя 1;ГК «Новые Технологии» (nt-rt.ru);мультибрендовый дистрибьютор;Крановые и металлургические, Высоковольтные 6–10 кВ;Запрос дилерских условий;форма на сайте;;;https://vemz.nt-rt.ru;Дилерство ВЭМЗ, 7АVE, МЭЗ — ПРОМКОНТУР, направление «Электродвигатели»;;;;;;;;;не отправлено;
3;Привод, электрика и КИПиА;Электродвигатели;Неделя 2;Насос-Электропром (nasoselprom.ru);дистрибьютор;Асинхронные общепромышленные АИР, Двигатели под частотное регулирование;Запрос дилерских условий;форма заказа на сайте;;;https://nasoselprom.ru/price;Дилерство АИР, АМН, 5АМН, Полесьеэлектромаш, УралЭлектро — ПРОМКОНТУР, направление «Электродвигатели»;;;;;;;;;не отправлено;
4;Привод, электрика и КИПиА;Электродвигатели;Резерв;ПромСнаб (psnab.ru);дистрибьютор;Щётки, крыльчатки, кожухи, клеммные коробки;Запрос условий сервиса / КП;e-mail/телефон;info@psnab.ru;+7 495 781-61-09;https://psnab.ru;Запрос условий для B2B-площадки ПРОМКОНТУР — Электродвигатели;;;;;;;;;не отправлено;
5;Привод, электрика и КИПиА;Частотники и автоматика;Неделя 1;INSTART / ГК «Новые Технологии»;производитель/бренд (сборка КНР);ПЧ до 7,5 кВт, ПЧ 11–250 кВт, Устройства плавного пуска;Запрос дилерских условий;форма/дилер;;;https://instart-info.ru;Дилерство INSTART (VCI, FCI, MCI, LCI серии) — ПРОМКОНТУР, направление «Частотники и автоматика»;;;;;;;;;не отправлено;
6;Привод, электрика и КИПиА;Частотники и автоматика;Неделя 1;РусАвтоматизация (rusautomation.ru);официальный дилер INSTART;ПЧ до 7,5 кВт, ПЧ 11–250 кВт;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://rusautomation.ru/info/brands/innovert;Партнёрство по привлечению заказчиков — Частотники и автоматика;;;;;;;;;не отправлено;
7;Привод, электрика и КИПиА;Частотники и автоматика;Неделя 1;Kinco Automation через kincohmi.ru;официальный дистрибьютор (заявлен «№1 в РФ и СНГ»);ПЛК, Панели HMI, Энкодеры и датчики положения;Запрос дилерских условий;форма на сайте;;;https://kincohmi.ru;Дилерство Kinco — ПРОМКОНТУР, направление «Частотники и автоматика»;;;;;;;;;не отправлено;
8;Привод, электрика и КИПиА;Частотники и автоматика;Неделя 2;Boneng Transmission через Veturado / Swiss Drive Systems;завод + прямой РФ-канал;Сервоприводы, Шкафы управления под заказ;Завод в Китае: цены, OEM, дистрибуция;форма на сайте;;;https://veturado.ru;Distribution in Russia — Boneng / ПРОМКОНТУР;;;;;;;;;не отправлено;
9;Привод, электрика и КИПиА;КИПиА;Неделя 1;ОВЕН;производитель РФ, прямые продажи + дилеры;Датчики давления, Манометры, Регуляторы и вторичные приборы, Реле давления и температуры, Отборные устройства и клапанные блоки;Запрос условий сервиса / КП;e-mail;support@owen.ru;;https://owen.ru;Запрос условий для B2B-площадки ПРОМКОНТУР — КИПиА;;;;;;;;;не отправлено;
10;Привод, электрика и КИПиА;КИПиА;Неделя 2;Группа «Теплоприбор» (Челябинск — Промприбор+Теплоконтроль+Теплоприбор);производитель РФ (приборы давления/температуры/расхода);Термосопротивления и термопары, Расходомеры и счётчики, Уровнемеры;Запрос условий сервиса / КП;телефон/e-mail;kip@teplopribor.net;+7 (495) 973-98-85;;Запрос условий для B2B-площадки ПРОМКОНТУР — КИПиА;;;;;;;;;не отправлено;
11;Привод, электрика и КИПиА;КИПиА;Неделя 2;Элемер (НПП);производитель РФ (датчики давления/температуры);Датчики давления, Манометры;Запрос условий сервиса / КП;опросный лист на сайте;;;https://elemer.ru;Запрос условий для B2B-площадки ПРОМКОНТУР — КИПиА;;;;;;;;;не отправлено;
12;Привод, электрика и КИПиА;КИПиА;Резерв;Метран (Промышленная группа, бывший актив Emerson);производитель РФ КИПиА;Датчики давления, Термосопротивления и термопары;Запрос условий сервиса / КП;e-mail/телефон;support@metran.ru;+7 (351) 24 24 000;;Запрос условий для B2B-площадки ПРОМКОНТУР — КИПиА;;;;;;;;;не отправлено;
13;Привод, электрика и КИПиА;Электротехника;Неделя 1;EKF;производитель/бренд (сборка Китай+РФ);Модульные автоматы и УЗО, Силовые автоматы в литом корпусе, Контакторы и тепловые реле, Промежуточные реле и таймеры;Запрос дилерских условий;через дистрибьюторов (напр. Элком-Электро) или форма на сайте;;;https://ekfgroup.com;Дилерство EKF — ПРОМКОНТУР, направление «Электротехника»;;;;;;;;;не отправлено;
14;Привод, электрика и КИПиА;Электротехника;Неделя 1;КЭАЗ;производитель (низковольтная автоматика);Силовые автоматы в литом корпусе, Контакторы и тепловые реле, Щиты под заказ;Запрос дилерских условий;форма на сайте / телефон;sale@ru-keaz.com;+7 495 178-05-80;https://keaz.ru/partner/for-dealers;Дилерство КЭАЗ — ПРОМКОНТУР, направление «Электротехника»;;;;;;;;;не отправлено;
15;Привод, электрика и КИПиА;Электротехника;Неделя 1;ЭТМ / iPRO;дистрибьютор (крупнейший электротехнический в РФ);Клеммы, маркировка, DIN-рейки, Корпуса и шкафы, Кнопки, лампы, переключатели;Подключение прайса и остатков;регистрация на promo.etm.ru;;;https://promo.etm.ru;Подключение прайса мультибренд (155+ производителей в ассортименте) к площадке ПРОМКОНТУР;;;;;;;;;не отправлено;
16;Привод, электрика и КИПиА;Кабель и кабеленесущие системы;Неделя 1;Камский кабель (kamkabel.ru);производитель РФ (крупнейший кабельный завод);Силовой ВВГ, АВВГ, ВБШв, Контрольный, Гибкий КГ, Огнестойкий нг(А)-FRLS;Запрос дилерских условий;форма на сайте;;;https://kamkabel.ru/franchise/;Дилерство Камкабель — ПРОМКОНТУР, направление «Кабель и кабеленесущие системы»;;;;;;;;;не отправлено;
17;Привод, электрика и КИПиА;Кабель и кабеленесущие системы;Неделя 2;Элком-Электро (el-com.ru);дистрибьютор (кабель, электро- и светотехника);Силовой ВВГ, АВВГ, ВБШв, Кабельные вводы, Муфты и наконечники;Запрос дилерских условий;e-mail/телефон;sale@el-com.ru;8-800-770-72-80;https://el-com.ru;Дилерство мультибренд, 155+ производителей — ПРОМКОНТУР, направление «Кабель и кабеленесущие системы»;;;;;;;;;не отправлено;
18;Привод, электрика и КИПиА;Кабель и кабеленесущие системы;Неделя 2;ДКС (DKC);производитель (кабеленесущие системы, НВА);Лотки и короба;Запрос дилерских условий;через официальных партнёров;sale@dkc-msk.ru;;https://dkc-msk.ru;Дилерство ДКС — ПРОМКОНТУР, направление «Кабель и кабеленесущие системы»;;;;;;;;;не отправлено;
19;Привод, электрика и КИПиА;ИБП и электропитание;Неделя 1;Delta-IBP.ru;официальный дилер + дистрибьютор + сервисный центр Delta Electronics по РФ;Онлайн-ИБП 1–20 кВА, Трёхфазные ИБП 20–400 кВА;Запрос дилерских условий;телефон/e-mail;info@delta-ibp.ru;8-800-511-74-42;https://delta-ibp.ru;Дилерство Delta (Ultron, Amplon, RT, HPH, DPH серии) — ПРОМКОНТУР, направление «ИБП и электропитание»;;;;;;;;;не отправлено;
20;Привод, электрика и КИПиА;ИБП и электропитание;Неделя 1;Delta Battery / ENERGON (delta-batt.com, delta-energon.ru);производитель РФ, бренд-зонтик АКБ;АКБ AGM/GEL;Запрос дилерских условий;e-mail/телефон;sales@energon.ru;8 (800) 775-61-01;https://delta-batt.com;Дилерство Delta Battery — ПРОМКОНТУР, направление «ИБП и электропитание»;;;;;;;;;не отправлено;
